time,soft_flux,hard_flux
2026-06-24 12:07:52,29.0,116.0
2026-06-24 12:07:59,48.0,78.0
2026-06-24 12:08:00,36.0,140.0
2026-06-24 12:08:16,32.0,232.0
2026-06-24 12:08:24,31.0,156.0
2026-06-24 12:08:32,44.0,197.0
2026-06-24 12:08:41,26.0,52.0
2026-06-24 12:08:48,34.0,145.0
2026-06-24 12:08:50,41.0,60.0
2026-06-24 12:08:53,46.0,93.0
2026-06-24 12:09:00,36.0,46.0
2026-06-24 12:09:01,48.0,153.0
2026-06-24 12:09:08,36.0,177.0
2026-06-24 12:09:16,37.0,163.0
2026-06-24 12:09:24,34.0,158.0
2026-06-24 12:09:40,30.0,163.0
2026-06-24 12:09:48,34.0,134.0
2026-06-24 12:09:56,34.0,217.0
2026-06-24 12:10:04,26.0,223.0
2026-06-24 12:10:12,31.0,167.0
2026-06-24 12:10:20,33.0,158.0
2026-06-24 12:10:27,38.0,252.0
2026-06-24 12:10:36,41.0,141.0
2026-06-24 12:10:51,20.0,120.0
2026-06-24 12:10:59,28.0,230.0
2026-06-24 12:11:05,31.0,110.0
2026-06-24 12:11:06,31.0,170.0
2026-06-24 12:11:13,23.0,184.0
2026-06-24 12:11:28,39.0,101.0
2026-06-24 12:11:36,28.0,24.0
2026-06-24 12:11:37,36.0,177.0
2026-06-24 12:11:43,23.0,284.0
2026-06-24 12:11:50,37.0,166.0
2026-06-24 12:11:59,17.0,141.0
2026-06-24 12:12:16,29.0,113.0
2026-06-24 12:12:23,30.0,128.0
2026-06-24 12:12:30,38.0,217.0
2026-06-24 12:12:37,29.0,193.0
2026-06-24 12:12:45,37.0,46.0
2026-06-24 12:12:53,33.0,190.0
2026-06-24 12:13:00,33.0,53.0
2026-06-24 12:13:01,30.0,174.0
2026-06-24 12:13:09,38.0,165.0
2026-06-24 12:13:17,25.0,188.0
2026-06-24 12:13:24,18.0,122.0
2026-06-24 12:13:26,31.0,29.0
2026-06-24 12:13:31,30.0,50.0
2026-06-24 12:13:33,20.0,222.0
2026-06-24 12:13:39,26.0,54.0
2026-06-24 12:13:47,35.0,138.0
2026-06-24 12:13:55,27.0,231.0
2026-06-24 12:14:03,17.0,175.0
2026-06-24 12:14:27,32.0,159.0
2026-06-24 12:14:35,19.0,164.0
2026-06-24 12:14:40,26.0,34.0
2026-06-24 12:14:42,23.0,206.0
2026-06-24 12:14:47,26.0,93.0
2026-06-24 12:15:03,24.0,169.0
2026-06-24 12:15:11,20.0,172.0
2026-06-24 12:15:13,27.0,30.0
2026-06-24 12:15:19,18.0,276.0
2026-06-24 12:15:26,23.0,169.0
2026-06-24 12:15:33,27.0,121.0
2026-06-24 12:15:35,23.0,89.0
2026-06-24 12:15:39,25.0,119.0
2026-06-24 12:15:41,22.0,147.0
2026-06-24 12:15:47,23.0,170.0
2026-06-24 12:15:55,30.0,42.0
2026-06-24 12:16:02,29.0,178.0
2026-06-24 12:16:26,21.0,119.0
2026-06-24 12:16:42,21.0,187.0
2026-06-24 12:16:58,20.0,125.0
2026-06-24 12:17:06,28.0,141.0
2026-06-24 12:17:13,24.0,140.0
2026-06-24 12:17:22,27.0,242.0
2026-06-24 12:17:37,27.0,184.0
2026-06-24 12:17:46,28.0,139.0
2026-06-24 12:17:54,29.0,46.0
2026-06-24 12:18:01,34.0,217.0
2026-06-24 12:18:10,22.0,191.0
2026-06-24 12:18:26,30.0,194.0
2026-06-24 12:18:34,10.0,146.0
2026-06-24 12:18:41,28.0,180.0
2026-06-24 12:18:50,22.0,165.0
2026-06-24 12:18:57,24.0,160.0
2026-06-24 12:19:05,17.0,198.0
2026-06-24 12:19:20,24.0,16.0
2026-06-24 12:19:21,23.0,117.0
2026-06-24 12:19:29,20.0,197.0
2026-06-24 12:19:37,29.0,249.0
2026-06-24 12:19:44,23.0,155.0
2026-06-24 12:19:53,28.0,190.0
2026-06-24 12:20:00,20.0,116.0
2026-06-24 12:20:08,26.0,258.0
2026-06-24 12:20:16,13.0,193.0
2026-06-24 12:20:24,24.0,168.0
2026-06-24 12:20:27,27.0,34.0
2026-06-24 12:20:32,26.0,223.0
2026-06-24 12:20:37,28.0,101.0
2026-06-24 12:20:51,23.0,45.0
2026-06-24 12:20:52,32.0,94.0
2026-06-24 12:21:00,18.0,95.0
2026-06-24 12:21:08,16.0,163.0
2026-06-24 12:21:16,27.0,9.0
2026-06-24 12:21:32,33.0,193.0
2026-06-24 12:21:40,28.0,147.0
2026-06-24 12:21:48,30.0,163.0
2026-06-24 12:21:55,30.0,123.0
2026-06-24 12:22:02,33.0,81.0
2026-06-24 12:22:04,38.0,210.0
2026-06-24 12:22:11,25.0,169.0
2026-06-24 12:22:19,24.0,157.0
2026-06-24 12:22:35,24.0,121.0
2026-06-24 12:22:51,30.0,162.0
2026-06-24 12:22:59,28.0,112.0
2026-06-24 12:23:06,25.0,57.0
2026-06-24 12:23:13,18.0,164.0
2026-06-24 12:23:21,27.0,248.0
2026-06-24 12:23:29,26.0,199.0
2026-06-24 12:23:38,22.0,19.0
2026-06-24 12:23:43,29.0,45.0
2026-06-24 12:23:44,30.0,107.0
2026-06-24 12:23:59,26.0,244.0
2026-06-24 12:24:15,23.0,41.0
2026-06-24 12:24:29,29.0,103.0
2026-06-24 12:25:08,20.0,155.0
2026-06-24 12:25:16,22.0,207.0
2026-06-24 12:25:31,17.0,138.0
2026-06-24 12:26:03,24.0,196.0
2026-06-24 12:26:11,26.0,268.0
2026-06-24 12:26:19,22.0,180.0
2026-06-24 12:26:26,27.0,241.0
2026-06-24 12:26:43,27.0,157.0
2026-06-24 12:26:50,20.0,181.0
2026-06-24 12:26:58,21.0,225.0
2026-06-24 12:27:13,25.0,276.0
2026-06-24 12:27:22,21.0,191.0
2026-06-24 12:27:37,26.0,184.0
2026-06-24 12:27:46,19.0,7.0
2026-06-24 12:27:53,21.0,49.0
2026-06-24 12:27:54,28.0,134.0
2026-06-24 12:28:17,27.0,88.0
2026-06-24 12:28:19,20.0,247.0
2026-06-24 12:28:25,23.0,104.0
2026-06-24 12:28:27,23.0,94.0
2026-06-24 12:28:33,18.0,8.0
2026-06-24 12:28:41,27.0,181.0
2026-06-24 12:28:49,28.0,7.0
2026-06-24 12:28:57,25.0,7.0
2026-06-24 12:29:05,23.0,8.0
2026-06-24 12:29:13,24.0,7.0
2026-06-24 12:29:37,32.0,13.0
2026-06-24 12:29:45,31.0,7.0
2026-06-24 12:29:53,30.0,169.0
2026-06-24 12:30:01,23.0,141.0
2026-06-24 12:30:09,19.0,247.0
2026-06-24 12:30:17,25.0,152.0
2026-06-24 12:30:25,19.0,197.0
2026-06-24 12:30:33,28.0,211.0
2026-06-24 12:30:41,25.0,274.0
2026-06-24 12:30:49,24.0,214.0
2026-06-24 12:30:57,24.0,177.0
2026-06-24 12:31:05,26.0,126.0
2026-06-24 12:31:13,16.0,116.0
2026-06-24 12:31:21,24.0,220.0
2026-06-24 12:31:30,19.0,86.0
2026-06-24 12:31:37,21.0,248.0
2026-06-24 12:31:43,18.0,223.0
2026-06-24 12:31:46,20.0,90.0
2026-06-24 12:31:48,21.0,24.0
2026-06-24 12:31:50,31.0,83.0
2026-06-24 12:31:56,19.0,101.0
2026-06-24 12:32:04,19.0,242.0
2026-06-24 12:32:11,38.0,198.0
2026-06-24 12:32:13,24.0,12.0
2026-06-24 12:32:18,13.0,154.0
2026-06-24 12:32:26,21.0,144.0
2026-06-24 12:32:33,15.0,88.0
2026-06-24 12:32:34,27.0,107.0
2026-06-24 12:32:39,25.0,42.0
2026-06-24 12:32:40,23.0,130.0
2026-06-24 12:32:54,20.0,157.0
2026-06-24 12:33:11,23.0,218.0
2026-06-24 12:33:19,21.0,268.0
2026-06-24 12:33:27,31.0,167.0
2026-06-24 12:33:34,12.0,131.0
2026-06-24 12:33:36,26.0,59.0
2026-06-24 12:33:50,25.0,174.0
2026-06-24 12:33:59,30.0,97.0
2026-06-24 12:34:06,18.0,66.0
2026-06-24 12:34:19,24.0,43.0
2026-06-24 12:34:20,28.0,221.0
2026-06-24 12:34:28,23.0,327.0
2026-06-24 12:34:52,22.0,14.0
2026-06-24 12:34:58,19.0,47.0
2026-06-24 12:35:13,29.0,193.0
2026-06-24 12:35:21,22.0,74.0
2026-06-24 12:35:23,22.0,69.0
2026-06-24 12:35:27,31.0,141.0
2026-06-24 12:35:34,16.0,264.0
2026-06-24 12:35:42,16.0,144.0
2026-06-24 12:35:50,18.0,210.0
2026-06-24 12:36:05,17.0,178.0
2026-06-24 12:36:14,27.0,215.0
2026-06-24 12:36:29,16.0,161.0
2026-06-24 12:36:36,15.0,120.0
2026-06-24 12:36:43,15.0,168.0
2026-06-24 12:36:57,26.0,20.0
2026-06-24 12:36:59,23.0,253.0
2026-06-24 12:37:06,11.0,177.0
2026-06-24 12:37:14,16.0,179.0
2026-06-24 12:37:22,22.0,166.0
2026-06-24 12:37:47,18.0,143.0
2026-06-24 12:37:53,16.0,291.0
2026-06-24 12:38:01,12.0,276.0
2026-06-24 12:38:17,14.0,199.0
2026-06-24 12:38:33,11.0,97.0
2026-06-24 12:38:34,17.0,132.0
2026-06-24 12:38:41,13.0,78.0
2026-06-24 12:38:48,18.0,130.0
2026-06-24 12:38:56,17.0,118.0
2026-06-24 12:39:04,12.0,10.0
2026-06-24 12:39:12,14.0,180.0
2026-06-24 12:39:20,13.0,159.0
2026-06-24 12:39:28,16.0,129.0
2026-06-24 12:39:35,9.0,50.0
2026-06-24 12:39:40,6.0,248.0
2026-06-24 12:39:48,15.0,149.0
2026-06-24 12:40:04,16.0,138.0
2026-06-24 12:40:20,16.0,203.0
2026-06-24 12:40:28,13.0,111.0
2026-06-24 12:40:35,22.0,89.0
2026-06-24 12:40:36,22.0,96.0
2026-06-24 12:40:43,13.0,153.0
2026-06-24 12:40:57,14.0,178.0
2026-06-24 12:41:04,14.0,174.0
2026-06-24 12:41:12,18.0,29.0
2026-06-24 12:41:28,14.0,33.0
2026-06-24 12:41:29,13.0,138.0
2026-06-24 12:41:34,19.0,234.0
2026-06-24 12:41:43,11.0,140.0
2026-06-24 12:41:51,16.0,198.0
2026-06-24 12:42:07,12.0,151.0
2026-06-24 12:42:23,16.0,172.0
2026-06-24 12:42:38,24.0,181.0
2026-06-24 12:42:55,23.0,191.0
2026-06-24 12:43:03,22.0,7.0
2026-06-24 12:43:11,21.0,164.0
2026-06-24 12:43:27,24.0,178.0
2026-06-24 12:43:35,17.0,91.0
2026-06-24 12:43:43,17.0,158.0
2026-06-24 12:43:51,22.0,174.0
2026-06-24 12:44:06,22.0,214.0
2026-06-24 12:44:24,12.0,246.0
2026-06-24 12:44:36,21.0,33.0
2026-06-24 12:44:37,21.0,176.0
2026-06-24 12:44:42,22.0,29.0
2026-06-24 12:44:44,21.0,164.0
2026-06-24 12:44:51,26.0,159.0
2026-06-24 12:44:58,31.0,9.0
2026-06-24 12:45:06,6.0,8.0
2026-06-24 12:45:14,21.0,108.0
2026-06-24 12:45:21,23.0,10.0
2026-06-24 12:45:27,22.0,7.0
2026-06-24 12:45:34,24.0,40.0
2026-06-24 12:45:35,13.0,99.0
2026-06-24 12:45:43,23.0,228.0
2026-06-24 12:45:51,25.0,170.0
2026-06-24 12:46:06,27.0,224.0
2026-06-24 12:46:23,29.0,18.0
2026-06-24 12:46:30,19.0,229.0
2026-06-24 12:46:35,25.0,42.0
2026-06-24 12:46:43,19.0,257.0
2026-06-24 12:47:00,28.0,7.0
2026-06-24 12:47:08,13.0,80.0
2026-06-24 12:47:16,22.0,12.0
2026-06-24 12:47:23,17.0,182.0
2026-06-24 12:47:30,19.0,176.0
2026-06-24 12:47:47,19.0,183.0
2026-06-24 12:48:03,15.0,121.0
2026-06-24 12:48:10,25.0,162.0
2026-06-24 12:48:27,13.0,161.0
2026-06-24 12:48:34,17.0,31.0
2026-06-24 12:48:35,33.0,149.0
2026-06-24 12:48:42,24.0,161.0
2026-06-24 12:48:58,17.0,173.0
2026-06-24 12:49:13,15.0,75.0
2026-06-24 12:49:15,23.0,116.0
2026-06-24 12:49:19,24.0,122.0
2026-06-24 12:49:28,20.0,165.0
2026-06-24 12:49:44,24.0,210.0
2026-06-24 12:49:52,22.0,210.0
2026-06-24 12:50:00,27.0,182.0
2026-06-24 12:50:08,23.0,177.0
2026-06-24 12:50:16,16.0,176.0
2026-06-24 12:50:39,22.0,160.0
2026-06-24 12:50:55,22.0,171.0
2026-06-24 12:51:03,19.0,236.0
2026-06-24 12:51:19,24.0,146.0
2026-06-24 12:51:26,17.0,148.0
2026-06-24 12:51:35,11.0,210.0
2026-06-24 12:52:07,13.0,155.0
2026-06-24 12:52:15,18.0,216.0
2026-06-24 12:52:22,19.0,143.0
2026-06-24 12:52:30,20.0,204.0
2026-06-24 12:52:38,14.0,34.0
2026-06-24 12:52:39,14.0,233.0
2026-06-24 12:52:44,23.0,105.0
2026-06-24 12:52:45,17.0,128.0
2026-06-24 12:52:52,28.0,82.0
2026-06-24 12:52:53,18.0,104.0
2026-06-24 12:53:06,24.0,90.0
2026-06-24 12:53:16,22.0,99.0
2026-06-24 12:53:28,25.0,16.0
2026-06-24 12:53:35,26.0,121.0
2026-06-24 12:53:43,27.0,70.0
2026-06-24 12:53:51,25.0,104.0
2026-06-24 12:53:52,28.0,144.0
2026-06-24 12:54:00,24.0,246.0
2026-06-24 12:54:07,20.0,138.0
2026-06-24 12:54:15,22.0,147.0
2026-06-24 12:54:23,26.0,44.0
2026-06-24 12:54:24,20.0,83.0
2026-06-24 12:54:31,21.0,168.0
2026-06-24 12:54:39,27.0,7.0
2026-06-24 12:54:46,20.0,238.0
2026-06-24 12:55:01,27.0,206.0
2026-06-24 12:55:16,29.0,100.0
2026-06-24 12:55:18,27.0,99.0
2026-06-24 12:55:24,31.0,240.0
2026-06-24 12:55:32,28.0,10.0
2026-06-24 12:55:33,36.0,173.0
2026-06-24 12:55:38,14.0,301.0
2026-06-24 12:55:46,20.0,215.0
2026-06-24 12:55:54,31.0,232.0
2026-06-24 12:56:02,25.0,230.0
2026-06-24 12:56:10,17.0,165.0
2026-06-24 12:56:21,27.0,10.0
2026-06-24 12:56:26,24.0,243.0
2026-06-24 12:56:32,22.0,284.0
2026-06-24 12:56:39,26.0,195.0
2026-06-24 12:56:47,22.0,237.0
2026-06-24 12:56:56,25.0,7.0
2026-06-24 12:57:03,13.0,256.0
2026-06-24 12:57:12,24.0,139.0
2026-06-24 12:57:27,28.0,135.0
2026-06-24 12:57:43,34.0,174.0
2026-06-24 12:58:00,26.0,164.0
2026-06-24 12:58:16,26.0,93.0
2026-06-24 12:58:22,19.0,215.0
2026-06-24 12:58:30,25.0,187.0
2026-06-24 12:58:40,21.0,22.0
2026-06-24 12:58:46,21.0,127.0
2026-06-24 12:59:06,7.0,128.0
2026-06-24 12:59:13,16.0,44.0
2026-06-24 12:59:14,22.0,143.0
2026-06-24 12:59:30,29.0,200.0
2026-06-24 13:00:02,12.0,258.0
2026-06-24 13:00:17,22.0,228.0
2026-06-24 13:00:34,16.0,133.0
2026-06-24 13:00:50,19.0,162.0
2026-06-24 13:00:57,21.0,157.0
2026-06-24 13:01:06,20.0,200.0
2026-06-24 13:01:14,17.0,164.0
2026-06-24 13:01:21,17.0,211.0
2026-06-24 13:01:28,17.0,149.0
2026-06-24 13:01:36,16.0,193.0
2026-06-24 13:01:43,21.0,42.0
2026-06-24 13:01:44,16.0,134.0
2026-06-24 13:01:52,22.0,255.0
2026-06-24 13:01:59,20.0,123.0
2026-06-24 13:02:07,21.0,196.0
2026-06-24 13:02:16,15.0,147.0
2026-06-24 13:02:31,20.0,141.0
2026-06-24 13:02:46,19.0,157.0
2026-06-24 13:03:35,18.0,59.0
2026-06-24 13:03:37,14.0,161.0
2026-06-24 13:03:48,15.0,90.0
2026-06-24 13:04:06,14.0,71.0
2026-06-24 13:04:18,20.0,98.0
2026-06-24 13:04:25,20.0,144.0
2026-06-24 13:04:33,16.0,170.0
2026-06-24 13:04:47,21.0,168.0
2026-06-24 13:04:49,19.0,74.0
2026-06-24 13:05:03,10.0,156.0
2026-06-24 13:05:11,14.0,161.0
2026-06-24 13:05:19,12.0,160.0
2026-06-24 13:05:34,20.0,87.0
2026-06-24 13:05:42,23.0,48.0
2026-06-24 13:05:43,19.0,141.0
2026-06-24 13:05:50,23.0,134.0
2026-06-24 13:06:05,17.0,115.0
2026-06-24 13:06:29,16.0,200.0
2026-06-24 13:06:37,18.0,196.0
2026-06-24 13:07:16,22.0,8.0
2026-06-24 13:07:24,20.0,241.0
2026-06-24 13:07:33,16.0,123.0
2026-06-24 13:07:40,16.0,155.0
2026-06-24 13:07:48,13.0,204.0
2026-06-24 13:08:05,24.0,117.0
2026-06-24 13:08:12,23.0,198.0
2026-06-24 13:08:20,13.0,152.0
2026-06-24 13:08:28,11.0,218.0
2026-06-24 13:08:35,15.0,30.0
2026-06-24 13:08:36,17.0,153.0
2026-06-24 13:08:43,13.0,119.0
2026-06-24 13:08:51,23.0,173.0
2026-06-24 13:08:59,17.0,166.0
2026-06-24 13:09:07,20.0,168.0
2026-06-24 13:09:14,18.0,7.0
2026-06-24 13:09:38,29.0,44.0
2026-06-24 13:09:39,16.0,129.0
2026-06-24 13:09:46,21.0,43.0
2026-06-24 13:09:54,27.0,164.0
2026-06-24 13:10:01,16.0,173.0
2026-06-24 13:10:08,23.0,175.0
2026-06-24 13:10:16,18.0,161.0
2026-06-24 13:10:24,22.0,263.0
2026-06-24 13:10:48,23.0,147.0
2026-06-24 13:10:56,15.0,281.0
2026-06-24 13:11:04,23.0,229.0
2026-06-24 13:11:35,15.0,54.0
2026-06-24 13:11:44,25.0,151.0
2026-06-24 13:11:52,23.0,9.0
2026-06-24 13:12:00,30.0,159.0
2026-06-24 13:12:08,24.0,209.0
2026-06-24 13:12:16,15.0,211.0
2026-06-24 13:12:24,20.0,150.0
2026-06-24 13:12:32,21.0,9.0
2026-06-24 13:12:39,21.0,135.0
2026-06-24 13:12:40,31.0,142.0
2026-06-24 13:12:48,21.0,154.0
2026-06-24 13:12:55,22.0,260.0
2026-06-24 13:13:04,20.0,39.0
2026-06-24 13:13:05,23.0,179.0
2026-06-24 13:13:19,21.0,187.0
2026-06-24 13:13:27,23.0,200.0
2026-06-24 13:13:35,13.0,15.0
2026-06-24 13:13:43,20.0,131.0
2026-06-24 13:13:50,29.0,7.0
2026-06-24 13:13:59,19.0,10.0
2026-06-24 13:14:07,25.0,231.0
2026-06-24 13:14:15,21.0,12.0
2026-06-24 13:14:23,19.0,212.0
2026-06-24 13:14:31,27.0,121.0
2026-06-24 13:14:39,32.0,9.0
2026-06-24 13:14:47,28.0,224.0
2026-06-24 13:14:54,25.0,154.0
2026-06-24 13:15:03,24.0,205.0
2026-06-24 13:15:19,22.0,202.0
2026-06-24 13:15:27,22.0,31.0
2026-06-24 13:15:32,36.0,146.0
2026-06-24 13:15:40,29.0,208.0
2026-06-24 13:15:48,29.0,8.0
2026-06-24 13:15:56,24.0,146.0
2026-06-24 13:16:11,20.0,183.0
2026-06-24 13:16:20,23.0,159.0
2026-06-24 13:16:28,23.0,113.0
2026-06-24 13:16:44,15.0,201.0
2026-06-24 13:17:00,13.0,196.0
2026-06-24 13:17:07,29.0,45.0
2026-06-24 13:17:08,19.0,174.0
2026-06-24 13:17:15,21.0,206.0
2026-06-24 13:17:30,22.0,167.0
2026-06-24 13:17:39,24.0,127.0
2026-06-24 13:17:47,18.0,247.0
2026-06-24 13:17:54,22.0,117.0
2026-06-24 13:18:18,18.0,187.0
2026-06-24 13:18:26,15.0,160.0
2026-06-24 13:18:34,30.0,159.0
2026-06-24 13:18:42,19.0,178.0
2026-06-24 13:18:50,14.0,112.0
2026-06-24 13:18:58,18.0,114.0
2026-06-24 13:19:14,11.0,121.0
2026-06-24 13:19:22,22.0,256.0
2026-06-24 13:19:29,19.0,169.0
2026-06-24 13:19:38,12.0,34.0
2026-06-24 13:19:46,19.0,231.0
2026-06-24 13:19:53,22.0,137.0
2026-06-24 13:20:03,10.0,39.0
2026-06-24 13:20:08,11.0,196.0
2026-06-24 13:20:24,16.0,128.0
2026-06-24 13:20:48,17.0,105.0
2026-06-24 13:20:56,16.0,96.0
2026-06-24 13:20:59,15.0,62.0
2026-06-24 13:21:01,12.0,110.0
2026-06-24 13:21:04,16.0,85.0
2026-06-24 13:21:17,18.0,150.0
2026-06-24 13:21:25,19.0,158.0
2026-06-24 13:21:33,9.0,131.0
2026-06-24 13:21:40,10.0,22.0
2026-06-24 13:21:41,18.0,97.0
2026-06-24 13:21:56,15.0,357.0
2026-06-24 13:21:59,14.0,189.0
2026-06-24 13:22:06,18.0,147.0
2026-06-24 13:22:13,22.0,23.0
2026-06-24 13:22:15,16.0,160.0
2026-06-24 13:22:21,15.0,174.0
2026-06-24 13:22:23,10.0,10.0
2026-06-24 13:22:36,19.0,125.0
2026-06-24 13:22:43,14.0,259.0
2026-06-24 13:23:16,12.0,206.0
2026-06-24 13:23:23,14.0,233.0
2026-06-24 13:23:39,19.0,95.0
2026-06-24 13:23:46,16.0,196.0
2026-06-24 13:23:56,13.0,95.0
2026-06-24 13:24:00,14.0,98.0
2026-06-24 13:24:02,15.0,59.0
2026-06-24 13:24:08,13.0,179.0
2026-06-24 13:24:17,18.0,83.0
2026-06-24 13:24:23,11.0,141.0
2026-06-24 13:24:24,17.0,148.0
2026-06-24 13:24:33,12.0,92.0
2026-06-24 13:24:39,12.0,119.0
2026-06-24 13:24:46,10.0,171.0
2026-06-24 13:24:54,19.0,233.0
2026-06-24 13:25:01,10.0,145.0
2026-06-24 13:25:10,12.0,150.0
2026-06-24 13:25:26,17.0,266.0
2026-06-24 13:25:34,17.0,152.0
2026-06-24 13:25:42,18.0,132.0
2026-06-24 13:25:50,12.0,38.0
2026-06-24 13:25:51,16.0,179.0
2026-06-24 13:25:56,13.0,178.0
2026-06-24 13:26:05,11.0,187.0
2026-06-24 13:26:21,8.0,244.0
2026-06-24 13:26:28,17.0,297.0
2026-06-24 13:26:36,15.0,173.0
2026-06-24 13:26:41,16.0,23.0
2026-06-24 13:26:43,19.0,131.0
2026-06-24 13:26:49,11.0,176.0
2026-06-24 13:26:57,11.0,120.0
2026-06-24 13:27:04,11.0,177.0
2026-06-24 13:27:13,12.0,184.0
2026-06-24 13:27:21,7.0,192.0
2026-06-24 13:27:37,11.0,173.0
2026-06-24 13:27:47,11.0,237.0
2026-06-24 13:27:57,20.0,90.0
2026-06-24 13:28:06,13.0,124.0
2026-06-24 13:28:14,14.0,169.0
2026-06-24 13:28:21,14.0,139.0
2026-06-24 13:28:30,25.0,167.0
2026-06-24 13:28:45,10.0,227.0
2026-06-24 13:28:53,8.0,97.0
2026-06-24 13:28:54,10.0,127.0
2026-06-24 13:29:01,22.0,234.0
2026-06-24 13:29:10,14.0,187.0
2026-06-24 13:29:17,13.0,135.0
2026-06-24 13:29:25,9.0,159.0
2026-06-24 13:29:27,10.0,30.0
2026-06-24 13:29:47,7.0,210.0
2026-06-24 13:29:55,21.0,192.0
2026-06-24 13:30:03,14.0,32.0
2026-06-24 13:30:10,16.0,183.0
2026-06-24 13:30:19,18.0,189.0
2026-06-24 13:30:28,9.0,124.0
2026-06-24 13:30:32,14.0,138.0
2026-06-24 13:30:49,12.0,196.0
2026-06-24 13:30:57,21.0,187.0
2026-06-24 13:31:05,6.0,195.0
2026-06-24 13:31:12,8.0,157.0
2026-06-24 13:31:21,11.0,173.0
2026-06-24 13:31:29,15.0,155.0
2026-06-24 13:31:36,10.0,204.0
2026-06-24 13:31:45,16.0,241.0
2026-06-24 13:32:01,9.0,238.0
2026-06-24 13:32:15,18.0,140.0
2026-06-24 13:32:24,11.0,141.0
2026-06-24 13:33:04,11.0,226.0
2026-06-24 13:33:13,18.0,35.0
2026-06-24 13:33:19,23.0,72.0
2026-06-24 13:33:20,19.0,225.0
2026-06-24 13:33:27,12.0,183.0
2026-06-24 13:33:42,12.0,178.0
2026-06-24 13:33:50,20.0,200.0
2026-06-24 13:33:58,14.0,175.0
2026-06-24 13:34:13,11.0,197.0
2026-06-24 13:34:53,20.0,199.0
2026-06-24 13:35:01,15.0,188.0
2026-06-24 13:35:07,13.0,50.0
2026-06-24 13:35:08,13.0,277.0
2026-06-24 13:35:15,13.0,91.0
2026-06-24 13:35:30,16.0,203.0
2026-06-24 13:35:45,23.0,163.0
2026-06-24 13:35:47,13.0,34.0
2026-06-24 13:35:53,7.0,28.0
2026-06-24 13:35:54,19.0,75.0
2026-06-24 13:36:08,10.0,88.0
2026-06-24 13:36:16,16.0,196.0
2026-06-24 13:36:24,11.0,156.0
2026-06-24 13:36:32,24.0,11.0
2026-06-24 13:36:48,18.0,146.0
2026-06-24 13:36:56,19.0,218.0
2026-06-24 13:37:04,17.0,102.0
2026-06-24 13:37:12,16.0,10.0
2026-06-24 13:37:19,27.0,86.0
2026-06-24 13:37:27,25.0,237.0
2026-06-24 13:37:34,21.0,16.0
2026-06-24 13:37:42,21.0,137.0
2026-06-24 13:37:49,22.0,11.0
2026-06-24 13:37:58,23.0,13.0
2026-06-24 13:38:06,15.0,13.0
2026-06-24 13:38:14,32.0,7.0
2026-06-24 13:38:22,21.0,187.0
2026-06-24 13:38:30,29.0,257.0
2026-06-24 13:38:37,26.0,8.0
2026-06-24 13:38:45,24.0,195.0
2026-06-24 13:38:53,24.0,155.0
2026-06-24 13:39:02,24.0,226.0
2026-06-24 13:39:09,27.0,163.0
2026-06-24 13:39:16,28.0,153.0
2026-06-24 13:39:24,15.0,204.0
2026-06-24 13:39:33,22.0,188.0
2026-06-24 13:39:43,22.0,175.0
2026-06-24 13:39:47,11.0,182.0
2026-06-24 13:40:01,18.0,178.0
2026-06-24 13:40:09,24.0,306.0
